Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#ABAS1-1-1,complete,,,,,,line
#ABAS1-10-1,notstarted,,,,,,line
#ABAS1-11-1,notstarted,,,,,,line
#ABAS1-11-2,notstarted,,,,,,line
#ABAS1-12-1,notstarted,,,,,,line
#ABAS1-12-2,notstarted,,,,,,line
#ABAS1-13-1,notstarted,,,,,,line
#ABAS1-2-1,notstarted,,,,,,line
#ABAS1-3-1,notstarted,,,,,,line
#ABAS1-4-1,notstarted,,,,,,line
#ABAS1-5-1,notstarted,,,,,,line
#ABAS1-6-1,notstarted,,,,,,line
#ABAS1-6-2,notstarted,,,,,,line
#ABAS1-6-3,notstarted,,,,,,line
#ABAS1-7-1,notstarted,,,,,,line
#ABAS1-7-2,notstarted,,,,,,line
#ABAS1-8-1,notstarted,,,,,,line
#ABAS1-9-1,notstarted,,,,,,line
#ABAS2-1-1,notstarted,,,,,,line
#ABAS2-10-1,notstarted,,,,,,line
#ABAS2-10-2,notstarted,,,,,,line
#ABAS2-11-1,notstarted,,,,,,line
#ABAS2-12-1,notstarted,,,,,,line
#ABAS2-12-2,notstarted,,,,,,line
#ABAS2-13-1,notstarted,,,,,,line
#ABAS2-2-1,notstarted,,,,,,line
#ABAS2-3-1,notstarted,,,,,,line
#ABAS2-3-2,notstarted,,,,,,line
#ABAS2-4-1,notstarted,,,,,,line
#ABAS2-4-2,notstarted,,,,,,line
#ABAS2-5-1,notstarted,,,,,,line
#ABAS2-5-2,notstarted,,,,,,line
#ABAS2-5-3,notstarted,,,,,,line
#ABAS2-6-1,notstarted,,,,,,line
#ABAS2-7-1,notstarted,,,,,,line
#ABAS2-7-2,notstarted,,,,,,line
#ABAS2-8-1,notstarted,,,,,,line
#ABAS2-8-2,notstarted,,,,,,line
#ABAS2-9-1,notstarted,,,,,,line
#ABAS2-9-2,notstarted,,,,,,line
#ABAS3-1-1,notstarted,,,,,,line
#ABAS3-1-2,notstarted,,,,,,line
#ABAS3-10-1,notstarted,,,,,,line
#ABAS3-11-1,notstarted,,,,,,line
#ABAS3-2-1,notstarted,,,,,,line
#ABAS3-3-1,notstarted,,,,,,line
#ABAS3-3-2,notstarted,,,,,,line
#ABAS3-4-1,notstarted,,,,,,line
#ABAS3-5-1,notstarted,,,,,,line
#ABAS3-5-2,notstarted,,,,,,line
#ABAS3-6-1,notstarted,,,,,,line
#ABAS3-7-1,notstarted,,,,,,line
#ABAS3-8-1,notstarted,,,,,,line
#ABAS3-9-1,notstarted,,,,,,line
#ABAS3-9-2,notstarted,,,,,,line
#ABAS3-9-3,notstarted,,,,,,line
#ABAS4-1-1,notstarted,,,,,,line
#ABAS4-1-2,notstarted,,,,,,line
#ABAS4-2-1,notstarted,,,,,,line
#ABAS4-3-1,notstarted,,,,,,line
#ABAS4-3-2,notstarted,,,,,,line
#ABAS4-4-1,notstarted,,,,,,line
#ABAS4-5-1,notstarted,,,,,,line
#ABAS4-6-1,notstarted,,,,,,line
#ABAS4-7-1,notstarted,,,,,,line
#ABAS4-8-1,notstarted,,,,,,line
#ABAS5-1-1,notstarted,,,,,,line
#ABAS5-2-1,notstarted,,,,,,line
#ABAS5-2-2,notstarted,,,,,,line
#ABAS5-3-1,notstarted,,,,,,line
#ABAS5-4-1,notstarted,,,,,,line
#ABAS5-5-1,notstarted,,,,,,line
#ABAS5-6-1,notstarted,,,,,,line
#ABAS5-7-1,notstarted,,,,,,line
#ABAS5-7-2,notstarted,,,,,,line
#ABAS5-7-3,notstarted,,,,,,line
#ABAS6-1-1,complete,,,,,,line
#ABAS6-2-1,notstarted,,,,,,line
#ABAS6-3-2,notstarted,,,,,,line
#ABAS6-4-1,notstarted,,,,,,line
#ABAS6-4-2,notstarted,,,,,,line
#ABAS6-4-3,notstarted,,,,,,line
#ABAS6-5-1,notstarted,,,,,,line
#ABAS7-1-1,notstarted,,,,,,line
#ABAS7-2-1,notstarted,,,,,,line
